is_duplicate,test_id
0.403698176146,1514
0.493741929531,1191
0.693913519382,9806
0.597692072392,1748
0.711783885956,1748
0.392480939627,1043
0.448802351952,1043
0.462247550488,5169
0.416180700064,5169
0.564676403999,8426
0.468059897423,8426
0.528324127197,6048
0.40206989646,6048
0.488421618938,4794
0.505536139011,4794
0.480443775654,11404
0.557753920555,8793
0.714563310146,3079
0.419973373413,3079
0.945145845413,7201
0.462603479624,7201
0.562663316727,9867
0.497564375401,2107
0.345028668642,2107
0.663585960865,832
0.235390141606,832
0.632610917091,7470
0.495453894138,7470
0.607916712761,7317
0.422631055117,7317
0.514446079731,11184
0.732753634453,12275
0.645984172821,6052
0.259514123201,6052
0.372152119875,12522
0.799945831299,1523
0.435430109501,1523
0.691560328007,2090
0.415558338165,2090
0.489459991455,2201
0.548336088657,2201
0.502106010914,9936
0.68607032299,5242
0.448755502701,5242
0.626099169254,3543
0.429174691439,3543
0.566227316856,7019
0.341123014688,7019
0.64601033926,11362
0.489654153585,7702
0.563461184502,2080
0.347610592842,2080
0.649854898453,9335
0.559341430664,9141
0.679621338844,10962
0.517140865326,10823
0.64601033926,11364
0.579159319401,6701
0.499388605356,6701
0.4608951509,12743
0.532218635082,3516
0.502154767513,3516
0.423807829618,722
0.462085425854,8001
0.438850283623,8001
0.657893776894,7378
0.451359778643,7378
0.455869197845,5587
0.627731859684,6178
0.414416790009,6178
0.486810475588,7648
0.321380674839,7648
0.494727134705,1103
0.382064640522,1103
0.574606597424,6664
0.314373880625,6664
0.458252698183,7544
0.46121519804,7544
0.688407957554,5523
0.416662842035,5523
0.443922877312,2769
0.502946019173,2769
0.349708288908,1438
0.51155012846,6078
0.355538129807,6078
0.396757543087,1195
0.551517188549,6376
0.533849537373,6376
0.551612198353,9342
0.515042483807,208
0.29147914052,208
0.543495535851,5136
0.277318388224,5136
0.58387696743,10315
0.377438426018,8867
0.471965223551,4425
0.454003304243,4425
0.663737952709,11588
0.585988402367,4035
0.455407708883,4035
0.513629674911,11507
0.505101263523,10916
0.733070313931,7282
0.418143361807,7282
0.563742399216,10870
0.463452488184,12745
0.641339421272,12684
0.536042869091,7482
0.484973490238,7482
0.366794168949,6593
0.511222362518,6593
0.71000868082,4749
0.338808864355,4749
0.542500376701,10551
0.505942165852,4957
0.376203030348,4957
0.52560031414,11906
0.579965949059,6143
0.398843467236,6143
0.444186806679,3181
0.456117272377,3181
0.528305947781,8125
0.253328830004,8125
0.804018497467,6894
0.430466532707,6894
0.679621338844,11044
0.565193593502,4991
0.402868181467,4991
0.83739387989,3326
0.451596438885,3326
0.518872737885,4066
0.408147066832,4066
0.579118490219,2051
0.518700182438,2051
0.536970317364,1691
